FeaturePosition,Feature,Dtype,MissingValues
1,HomeEloBefore,float64,0
2,AwayEloBefore,float64,0
3,HomeRollingPoints5,float64,502
4,AwayRollingPoints5,float64,498
5,HomeRollingGoalsFor5,float64,502
6,HomeRollingGoalsAgainst5,float64,502
7,HomeRollingGoalDifference5,float64,502
8,HomeRollingWinRate5,float64,502
9,AwayRollingGoalsFor5,float64,498
10,AwayRollingGoalsAgainst5,float64,498
11,AwayRollingGoalDifference5,float64,498
12,AwayRollingWinRate5,float64,498
13,HomeVenueRollingPoints5,float64,1000
14,HomeVenueRollingGoalsFor5,float64,1000
15,HomeVenueRollingGoalsAgainst5,float64,1000
16,HomeVenueRollingGoalDifference5,float64,1000
17,HomeVenueRollingWinRate5,float64,1000
18,AwayVenueRollingPoints5,float64,1000
19,AwayVenueRollingGoalsFor5,float64,1000
20,AwayVenueRollingGoalsAgainst5,float64,1000
21,AwayVenueRollingGoalDifference5,float64,1000
22,AwayVenueRollingWinRate5,float64,1000
23,HomeRestDays,float64,100
24,AwayRestDays,float64,100
25,HomeShortRest3,float64,100
26,AwayShortRest3,float64,100
27,HomeMatchesLast7Days,int64,0
28,HomeMatchesLast14Days,int64,0
29,AwayMatchesLast7Days,int64,0
30,AwayMatchesLast14Days,int64,0
31,EloDifference,float64,0
32,PointsFormDifference5,float64,503
33,GoalsForFormDifference5,float64,503
34,GoalsAgainstFormDifference5,float64,503
35,GoalDifferenceFormDifference5,float64,503
36,WinRateFormDifference5,float64,503
37,VenuePointsFormDifference5,float64,1016
38,VenueGoalsForFormDifference5,float64,1016
39,VenueGoalsAgainstFormDifference5,float64,1016
40,VenueGoalDifferenceFormDifference5,float64,1016
41,VenueWinRateFormDifference5,float64,1016
42,RestDaysDifference,float64,102
43,ShortRestDifference3,float64,102
44,MatchesLast7DaysDifference,int64,0
45,MatchesLast14DaysDifference,int64,0
46,AwayMatchWeek,int64,0
47,HomeMatchWeek,int64,0
48,HomeSeasonProgress,float64,0
49,AwaySeasonProgress,float64,0
50,AverageSeasonProgress,float64,0
51,SeasonProgressDifference,float64,0
52,MatchesPlayedDifference,int64,0
53,SecondHalfSeason,int64,0
54,HomePointsBefore,int64,0
55,AwayPointsBefore,int64,0
56,HomeGoalDifferenceBefore,int64,0
57,AwayGoalDifferenceBefore,int64,0
58,HomeLeaguePosition,Int64,24
59,AwayLeaguePosition,Int64,24
60,PointsDifference,int64,0
61,PositionDifference,Int64,24
62,GoalDifferenceDifference,int64,0
63,HomeTop4Before,Int64,24
64,HomeTop6Before,Int64,24
65,HomeTopHalfBefore,Int64,24
66,HomeBottom3Before,Int64,24
67,AwayTop4Before,Int64,24
68,AwayTop6Before,Int64,24
69,AwayTopHalfBefore,Int64,24
70,AwayBottom3Before,Int64,24
